"Bot";"StartTime";"EndTime";"RouteType";"TaskType"
67;188.5540999994;242.7563764974;"ROUTE_1";"INPUT"
67;242.7563764974;297.8647552319;"ROUTE_2";"INPUT"
78;206.299999997;246.7859337181;"ROUTE_1";"OUTPUT"
78;246.7859337181;299.1868737228;"ROUTE_2";"OUTPUT"
1;194.5179999955;250.67927159;"ROUTE_1";"INPUT"
1;250.67927159;299.849369321;"ROUTE_2";"INPUT"
11;173.1999999993;244.5275200792;"ROUTE_1";"INPUT"
11;244.5275200792;301.443659097;"ROUTE_2";"INPUT"
63;167.871799998;240.5905431286;"ROUTE_1";"OUTPUT"
63;240.5905431286;302.4170830846;"ROUTE_2";"OUTPUT"
107;173.3498999998;215.6753877029;"ROUTE_1";"OUTPUT"
107;215.6753877029;305.669363413;"ROUTE_2";"OUTPUT"
5;171.8500000015;229.7705150731;"ROUTE_1";"OUTPUT"
5;229.7705150731;306.5314538777;"ROUTE_2";"OUTPUT"
108;179.9934000038;264.9173802249;"ROUTE_1";"INPUT"
108;264.9173802249;306.8922515996;"ROUTE_2";"INPUT"
88;206.9535999969;256.6964265704;"ROUTE_1";"INPUT"
88;256.6964265704;307.8630823828;"ROUTE_2";"INPUT"
31;180.3498999998;223.2212700322;"ROUTE_1";"OUTPUT"
31;223.2212700322;311.4857816994;"ROUTE_2";"OUTPUT"
38;210.3498999961;253.0307144038;"ROUTE_1";"OUTPUT"
38;253.0307144038;316.7553611435;"ROUTE_2";"OUTPUT"
79;189.6000000015;250.7937058471;"ROUTE_1";"INPUT"
79;250.7937058471;317.7839362733;"ROUTE_2";"INPUT"
29;168.5998999998;245.6269347779;"ROUTE_1";"OUTPUT"
29;245.6269347779;318.4666863941;"ROUTE_2";"OUTPUT"
80;207.9957999997;259.6484267302;"ROUTE_1";"INPUT"
80;259.6484267302;322.179209426;"ROUTE_2";"INPUT"
15;223.3500000015;260.2121511847;"ROUTE_1";"OUTPUT"
15;260.2121511847;323.3469553664;"ROUTE_2";"OUTPUT"
6;212.3587999977;277.1805038303;"ROUTE_1";"INPUT"
6;277.1805038303;325.1729996726;"ROUTE_2";"INPUT"
10;177.875500001;262.1897857152;"ROUTE_1";"INPUT"
10;262.1897857152;325.2772658132;"ROUTE_2";"INPUT"
66;217.0999999978;265.5580806099;"ROUTE_1";"OUTPUT"
66;265.5580806099;329.1227814518;"ROUTE_2";"OUTPUT"
27;211.3161000013;269.8053307794;"ROUTE_1";"INPUT"
27;269.8053307794;329.2320298105;"ROUTE_2";"INPUT"
25;184.2023999989;247.691631116;"ROUTE_1";"OUTPUT"
25;247.691631116;331.818491023;"ROUTE_2";"OUTPUT"
17;224.8499999978;274.4089598991;"ROUTE_1";"OUTPUT"
17;274.4089598991;332.1584388614;"ROUTE_2";"OUTPUT"
41;186.5998999998;266.9290884174;"ROUTE_1";"INPUT"
41;266.9290884174;333.4164192602;"ROUTE_2";"INPUT"
89;179.1000000015;242.3515808061;"ROUTE_1";"OUTPUT"
89;242.3515808061;335.9562404305;"ROUTE_2";"OUTPUT"
4;158.8328000009;277.1294047385;"ROUTE_1";"INPUT"
4;277.1294047385;337.2474282794;"ROUTE_2";"INPUT"
62;163.3855999969;207.473604586;"ROUTE_1";"OUTPUT"
62;207.473604586;337.7663723789;"ROUTE_2";"OUTPUT"
94;178.8960999995;271.1440021247;"ROUTE_1";"INPUT"
94;271.1440021247;339.9434164949;"ROUTE_2";"INPUT"
32;197.6000000015;289.9969286844;"ROUTE_1";"INPUT"
32;289.9969286844;341.8891365752;"ROUTE_2";"INPUT"
37;163.8500000015;245.3231550828;"ROUTE_1";"OUTPUT"
37;245.3231550828;343.1604604125;"ROUTE_2";"OUTPUT"
73;227.0999999978;297.9061000012;"ROUTE_1";"INPUT"
73;297.9061000012;345.4360428788;"ROUTE_2";"INPUT"
99;190.8500000015;270.3034884594;"ROUTE_1";"OUTPUT"
99;270.3034884594;346.6643497273;"ROUTE_2";"OUTPUT"
47;246.3498999961;288.9904268011;"ROUTE_1";"OUTPUT"
47;288.9904268011;350.6723892055;"ROUTE_2";"OUTPUT"
9;197.8500000015;263.7665795833;"ROUTE_1";"OUTPUT"
9;263.7665795833;352.4181662723;"ROUTE_2";"OUTPUT"
61;247.6303000003;303.3004398271;"ROUTE_1";"INPUT"
61;303.3004398271;353.5187738091;"ROUTE_2";"INPUT"
90;170.8695000038;222.2939488739;"ROUTE_1";"OUTPUT"
90;222.2939488739;353.5591884963;"ROUTE_2";"OUTPUT"
49;200.4000000022;270.2409497164;"ROUTE_1";"OUTPUT"
49;270.2409497164;353.7739447914;"ROUTE_2";"OUTPUT"
68;234.0999999978;304.5280210748;"ROUTE_1";"INPUT"
68;304.5280210748;355.7079679519;"ROUTE_2";"INPUT"
92;254.1697999984;315.2925000004;"ROUTE_1";"INPUT"
92;315.2925000004;356.1419460922;"ROUTE_2";"INPUT"
84;236.3498999998;303.7991213016;"ROUTE_1";"INPUT"
84;303.7991213016;356.4160521291;"ROUTE_2";"INPUT"
