task;level;bot;taskType;routeType;isTrimmed;startTime;endTime;time;stayAtFinal;mvc;slotTime;slotNr;platformArrival
1330;1;9;INPUT;ROUTE_2;false;497000.0;542078.0;45078.0;18000.0;52;NA;NA;NA
1347;1;16;INPUT;ROUTE_1;false;479088.0;517000.0;37912.0;24000.0;56;415000;83;420000
1347;1;16;INPUT;ROUTE_2;false;517000.0;553992.0;36992.0;18000.0;56;NA;NA;NA
1350;1;12;INPUT;ROUTE_1;false;483802.0;522000.0;38198.0;17000.0;52;420000;84;425000
1350;1;12;INPUT;ROUTE_2;false;522000.0;562186.0;40186.0;18000.0;52;NA;NA;NA
1396;1;15;INPUT;ROUTE_1;false;533196.0;577000.0;43804.0;24000.0;20;475000;95;480000
1396;1;15;INPUT;ROUTE_2;false;577000.0;630867.0;53867.0;18000.0;20;NA;NA;NA
322;1;11;OUTPUT;ROUTE_1;false;487649.0;500149.0;12500.0;12500.0;68;NA;NA;NA
322;1;11;OUTPUT;ROUTE_2;false;500149.0;548000.0;47851.0;13000.0;68;540000;108;535000
333;1;13;OUTPUT;ROUTE_1;false;514646.0;533221.0;18575.0;11825.0;40;NA;NA;NA
333;1;13;OUTPUT;ROUTE_2;false;533221.0;563000.0;29779.0;13000.0;40;555000;111;550000
1417;1;14;INPUT;ROUTE_1;false;556171.0;602000.0;45829.0;24000.0;24;500000;100;505000
1417;1;14;INPUT;ROUTE_2;false;602000.0;644719.0;42719.0;18000.0;24;NA;NA;NA
343;1;10;OUTPUT;ROUTE_1;false;520811.0;538171.0;17360.0;11960.0;8;NA;NA;NA
343;1;10;OUTPUT;ROUTE_2;false;538171.0;573000.0;34829.0;13000.0;8;565000;113;560000
1435;1;11;INPUT;ROUTE_1;false;603952.0;627000.0;23048.0;17000.0;56;525000;105;530000
1435;1;11;INPUT;ROUTE_2;false;627000.0;676984.0;49984.0;18000.0;56;NA;NA;NA
375;1;9;OUTPUT;ROUTE_1;false;547517.0;563055.0;15538.0;12163.0;40;NA;NA;NA
375;1;9;OUTPUT;ROUTE_2;false;563055.0;608000.0;44945.0;13000.0;40;600000;120;595000
